id_version,NC,mWMC,mBC
6cfbec256b6d8408c321eb694bc169d0ebb73c28,911,18.0549,0.0823
528195c18881608501c107f5b474e95021e5c603,913,18.1369,0.0821
075e0894bbbbdc5ba19844a371e2851e6cb134a7,903,17.6202,0.0834
7ba2536b3320f072f121f03289dfa216b2277e26,936,18.1998,0.0800
3aca96e09a7df5fc1974f5be952f174849b860df,990,18.7970,0.0902
ffbd8264b16475f766208051eefb7887f682fa65,984,18.7825,0.0810
f47bcb970397339ace2d1ca4fd9038027c6f00f9,955,18.4984,0.0802
aff60e0c25aa084f2ccb181098e87a7bc9f6fb8a,989,18.8261,0.0812
7fc59df4096314152762dd9ca115c77fe8b7a6c2,1026,18.1452,0.0923
721ef79b8a0c3c5064568b1e3c8cb2e295f3f908,1010,19.3535,0.0838
ee68dcd9ba53729164d8cc331fa544beddecd03c,917,18.1003,0.0816
690db652dd7c36c383a73073bc54a6d1de5903a2,916,17.9443,0.0820
9cc4fdcf7179d940672e40be14a54e57d3b78da1,936,18.1859,0.0801
7d284d4d410a95c75c01fc246c708753d64ba22a,1010,19.0584,0.0814
802f009d6e67314914b9cc9bae965ea2560bb7ce,914,17.8764,0.0818
ac3101367dbe3c1e04587f0e062a4ef5cfe1ca5f,960,18.6573,0.0798
88d360fafea21f16f322be98f937f4abb2c5744d,936,18.1998,0.0800
ff1452f4bbab7869b8ddf0c19f41e12149b86062,987,18.8774,0.0884
950c04a52d228a7b68d8c183b55d1d22567c320b,936,18.2457,0.0801
867a84d85b6fe2163ed21e5cd5da00bd4e0b73fb,946,18.2135,0.0802
4c2a050e35a4ad07b6d16d704d6b9424539476db,999,18.8348,0.0814
c38f65a77aab3524e039dfbc6f393044cbdb24b4,985,18.7492,0.0885
0d75b099024210aeba3668529ea1c39ddc5d22a5,1010,18.3505,0.0819
498cd209868635fd429e66e27d5a709a2abf0cc4,984,18.7825,0.0810
8ef26e948b7ed30b232019dc9ee9a7c391259ab1,1010,19.0416,0.0815
f0c62a4aeaa04674ca8a7b1b8c2b857af64bd9ba,1005,19.0229,0.0818
dfe3daddc4d0e05dc67febcf2f4dc0fc5b59d106,988,18.7824,0.0903
9909e3b0eaf24ab8a4968b729c13729f10b4269e,978,18.8027,0.0800
2871a0b9a99dca2e052fd43a1b83e8713890123a,922,18.0987,0.0812
f87289f835d461883e90d82f909ae4f250d8a6b0,935,18.1594,0.0802
4f5ea5ede6cd4d02434dc648b0e8696e4bee43d3,1022,18.1213,0.0926
47b789cc2e69d864fb56d15f051c026bfcfc2390,917,18.1014,0.0816
cd4458042b6203bcbca1adf6e00693855e40d31b,903,17.5604,0.0835
f23de278bf39d33f071223719b6ea192d6512ef6,1010,18.3356,0.0819
2cd898ff2166469022a4f33e63b472b381004c0b,931,18.1310,0.0804
afbd7f5eccb25f068af6f8e156962fe256fdad10,987,18.7295,0.0883
b986d4e46df9092618cb668ec910613f356314f3,989,18.7867,0.0903
e25bacdd84f52f3eec224fb4ac545721e778569b,989,18.8382,0.0812
212e38650cb6d7b8430a2ad6488336a17a41ce5f,917,18.0731,0.0816
ee54218335f20869f6c3da7409c48dfda1c90423,958,18.5804,0.0799
e548839dcaf52c8d14d092bbc6698caf276a1fab,925,18.1859,0.0807
6d5acda8baac7b6c76cef3e4c095e6f12d090987,914,17.8764,0.0818
69ded92b37569f0eaa4bb70d9c932aa871248e10,987,18.8642,0.0904
0e28612053812dd45f50289fe2b329357f273ea1,960,18.7167,0.0797
04c61043c5521754f3280720ac901a7989e2abe3,988,18.7864,0.0903
f9ab1d4af94bf509d4cf09706c32d1e69f0a5833,913,18.1380,0.0821
cdafc68373d4632fa13fa29dc243144102b5c33c,910,17.6813,0.0830
49fa06c3f115c194d951621b0d8fc9613321ac6f,1007,19.3883,0.0837
15af45c17df3fa642f66949bcf47d3bbbd2a9e41,936,18.1955,0.0801
73f5d6a65880f5db897b1c3678a25436c0880dc4,987,18.9959,0.0867
